;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
258;within an hour;100%;t;8.0;-22.99660148759885;-43.26964638692844;Bed and breakfast;Private room;2;1.0;1.0;1.0;Real Bed;"{Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",""Free street parking"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$102.00;$0.00;$20.00;1;$30.00;1;180;17;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;flexible;2018;4
259;within an hour;100%;f;2.0;-22.91410551376948;-43.18576811966778;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer}";$232.00;$487.00;$122.00;2;$39.00;2;180;2;50.0;6.0;4.0;4.0;4.0;8.0;4.0;f;f;flexible;2018;4
260;within an hour;100%;f;31.0;-22.96557450660161;-43.17722601487897;Apartment;Private room;4;0.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Host greets you""}";$229.00;;;4;$0.00;1;90;22;89.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
261;within an hour;100%;f;31.0;-22.96285775825769;-43.17575309203559;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Long term stays allowed"",""Host greets you""}";$79.00;;;2;$0.00;1;90;72;93.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;moderate;2018;4
262;within an hour;100%;f;31.0;-22.967371177975192;-43.178056889956544;Apartment;Private room;3;;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Host greets you""}";$150.00;;;3;$0.00;1;90;14;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;moderate;2018;4
263;within an hour;100%;f;31.0;-22.967148263439068;-43.1782433844952;Apartment;Private room;2;;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Private entrance"",""Hot water"",""Host greets you""}";$92.00;;;1;$0.00;2;30;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;2018;4
264;within a day;71%;f;2.0;-22.96656677789817;-43.19191531619556;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Breakfast,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$451.00;$0.00;$100.00;1;$0.00;3;1125;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
265;within a few hours;100%;f;5.0;-22.98054244450124;-43.19368567529776;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials}";$161.00;$330.00;$100.00;2;$28.00;3;180;69;89.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict;2018;4
266;within an hour;100%;t;3.0;-22.984857366500577;-43.20369102055926;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}";$256.00;$683.00;$120.00;2;$51.00;2;900;137;95.0;10.0;9.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
267;within an hour;100%;f;31.0;-22.96536533879182;-43.1781986310033;Apartment;Private room;2;;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Elevator,""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Hot water""}";$150.00;;;1;$0.00;1;21;3;87.0;9.0;9.0;9.0;9.0;10.0;9.0;f;f;moderate;2018;4
